title,author,rating
프리드로우,전선욱,9.82
신림/남/22,박태준 만화회사,5.22
은탄,김규삼,9.95
취사병 전설이...,제이로빈 / 이진수,9.86
먹는 인생,홍끼,9.96
스퍼맨 : 전...,하일권,9.93
초인의 시대,섭이,9.95
여고생 드래곤,땅콩,9.97
스터디그룹,신형욱 / 유승연,9.96
망나니 소교주...,재무 / 전마두 / 대은호,9.80
니나의 마법서랍,랑또,9.98
존잘주의,령,9.64
아홉수 우리들,수박양,9.98
아사,우새새,9.92
반드시 해피엔딩,불사 / 재림 / 플아다,9.95
나이트런,김성민,9.91
청춘 블라썸,홍덕 / NEMONE,9.97
윌유메리미,마인드C,9.92
힙한남자,혜니,9.90
99강화나무몽...,홍실 / 지페리,9.68
나를 바꿔줘,이지호 / 호띠,9.85
피라미드 게임,달꼬냑,9.97
최면학교,박은혁,9.78
마법사가 죽음...,박젶 / 주은설,9.93
키스의 여왕,영영이 / 이재익,9.83
어글리후드,미애,9.98
좀비 파이트,이저녁,9.95
용사참수인,김세래,9.91
소공녀 민트,땔깜 / 갈피 / 오윤,9.94
탑코너,윤성 / 라군,9.78
적월의 나라,박신 / 신동구,9.65
태백 : 튜토...,이난 / 백세,9.93
왕년엔 용사님,고샤 / 솔렘,9.94
"나태 공자, ...",doip / 도도문 / 이...,9.92
엑스애쉬,김세훈 / 이광수,9.87
7FATES:...,HYBE,8.12
은둔코인,HD3,9.66
홍시는 날 좋...,강하다 / 웃는해,9.97
최강부캐,직씨,9.27
공유몽,주신 / 유령선,9.92
감 비서가 고...,퀀퀀 / 파란드,9.89
봐선 안되는 것,수리부,9.79
남편을 만렙으...,유기농 / 컬린 / 누오바,9.96
이건 그냥 연...,이재이,9.59
메트로헌터,두엽 / 척준경,9.69
"저무는 해, ...",MURO,9.97
소년 검사,혁씨,9.51
배달의 신,명랑 / 신얼,9.94
물위의 우리,뱁새 / 왈패,9.97
내게 필요한 ...,마그네슘,9.98
전생연분,재아 / HAE,9.96
팔려 온 신부,지기 / 시크크,9.88
일상이 무너졌다,승한 / 예림,9.68
키스 식스 센스,갓녀 / 조코봉,9.92
"안녕, 이바다씨",문나영,9.90
중매쟁이 아가...,박카린 / 지미신,9.92
지구식 구원자...,하정수 / 외투,9.69
묘령의 황자,아흐레달,9.97
오늘부터 천생...,달노도 / 노승아,9.93
사서고생!,몽실,9.92
광해의 연인,러시 / 유오디아,9.93
좋은데 어떡해,여은,9.90
좋아해 아니 ...,지지,9.42
주욱 같은 하루,미티 / 민영,9.79
홍대 바이브,내먼,9.92
더 나우,이니,9.91
도사 가온,김상민,9.92
스트릿 워크아웃,장부규,9.89
밤을 깨우는 ...,외딴,9.97
나를 길들여 ...,홍주 / 글쓰는 귀신,9.06
숨겨진 성녀,야마겟돈 / 연슬아,9.92
아가사,이다인,9.92
보듬보듬,라라시스터,9.78
2-3승강장,김민찰스,9.78
먹지마세요,노도 / 비버,9.93
아침을 지나 ...,손지은,9.95
실버 쥬얼,찬2,9.82
